DDI_Type	Interaction_Name
DDI Type 0	The risk or severity of bleeding can be increased when Drug 1 is combined with Drug 2.
DDI Type 1	The risk or severity of hemorrhage can be increased when Drug 1 is combined with Drug 2.
DDI Type 2	The therapeutic efficacy of Drug 1 can be decreased when used in combination with Drug 2.
DDI Type 3	The therapeutic efficacy of Drug 1 can be increased when used in combination with Drug 2.
DDI Type 4	The risk or severity of bleeding and bruising can be increased when Drug 1 is combined with Drug 2.
DDI Type 5	The risk or severity of gastrointestinal bleeding can be increased when Drug 1 is combined with Drug 2.
DDI Type 6	The risk or severity of bleeding and hemorrhage can be increased when Drug 1 is combined with Drug 2.
DDI Type 7	Drug 1 may increase the anticoagulant activities of Drug 2.
DDI Type 8	The risk or severity of QTc prolongation can be increased when Drug 1 is combined with Drug 2.
DDI Type 9	Drug 1 may decrease the excretion rate of Drug 2 which could result in a higher serum level.
DDI Type 10	The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Drug 1 is combined with Drug 2.
DDI Type 11	The risk or severity of methemoglobinemia can be increased when Drug 1 is combined with Drug 2.
DDI Type 12	Drug 1 may decrease effectiveness of Drug 2 as a diagnostic agent.
DDI Type 13	Drug 1 may increase the QTc-prolonging activities of Drug 2.
DDI Type 14	The risk or severity of adverse effects can be increased when Drug 1 is combined with Drug 2.
DDI Type 15	Drug 1 may increase the neuromuscular blocking activities of Drug 2.
DDI Type 16	The risk or severity of hypertension can be increased when Drug 1 is combined with Drug 2.
DDI Type 17	Drug 1 may decrease the antihypertensive activities of Drug 2.
DDI Type 18	The risk or severity of elevated intracranial pressure can be increased when Drug 1 is combined with Drug 2.
DDI Type 19	Drug 1 may increase the hypertensive activities of Drug 2.
DDI Type 20	The serum concentration of Drug 1 can be increased when it is combined with Drug 2.
DDI Type 21	The excretion of Drug 1 can be decreased when combined with Drug 2.
DDI Type 22	The serum concentration of Drug 1 can be decreased when it is combined with Drug 2.
DDI Type 23	The metabolism of Drug 1 can be increased when combined with Drug 2.
DDI Type 24	The metabolism of Drug 1 can be decreased when combined with Drug 2.
DDI Type 25	The risk or severity of nephrotoxicity can be increased when Drug 1 is combined with Drug 2.
DDI Type 26	The risk or severity of neuromuscular blockade can be increased when Drug 1 is combined with Drug 2.
DDI Type 27	Drug 1 may increase the neurotoxic activities of Drug 2.
DDI Type 28	Drug 1 may increase the nephrotoxic activities of Drug 2.
DDI Type 29	The risk or severity of nephrotoxicity and hypocalcemia can be increased when Drug 1 is combined with Drug 2.
DDI Type 30	The risk or severity of renal failure can be increased when Drug 1 is combined with Drug 2.
DDI Type 31	The risk or severity of hyperkalemia can be increased when Drug 1 is combined with Drug 2.
DDI Type 32	The excretion of Drug 1 can be increased when combined with Drug 2.
DDI Type 33	The risk or severity of seizure can be increased when Drug 1 is combined with Drug 2.
DDI Type 34	The bioavailability of Drug 1 can be decreased when combined with Drug 2.
DDI Type 35	The risk or severity of immunosuppression can be increased when Drug 1 is combined with Drug 2.
DDI Type 36	Drug 1 may increase the hepatotoxic activities of Drug 2.
DDI Type 37	Drug 1 may increase the immunosuppressive activities of Drug 2.
DDI Type 38	The risk or severity of neutropenia can be increased when Drug 1 is combined with Drug 2.
DDI Type 39	The risk or severity of myelosuppression can be increased when Drug 1 is combined with Drug 2.
DDI Type 40	Drug 1 may increase the excretion rate of Drug 2 which could result in a lower serum level and potentially a reduction in efficacy.
DDI Type 41	The risk or severity of Cardiovascular Impairment can be increased when Drug 1 is combined with Drug 2.
DDI Type 42	Drug 1 can cause an increase in the absorption of Drug 2 resulting in an increased serum concentration and potentially a worsening of adverse effects.
DDI Type 43	Drug 1 may increase the antiplatelet activities of Drug 2.
DDI Type 44	The risk or severity of hypokalemia can be increased when Drug 1 is combined with Drug 2.
DDI Type 45	The risk or severity of ventricular arrhythmias and Cardiac Arrhythmia can be increased when Drug 1 is combined with Drug 2.
DDI Type 46	Drug 1 may increase the photosensitizing activities of Drug 2.
DDI Type 47	The risk or severity of serotonin syndrome can be increased when Drug 1 is combined with Drug 2.
DDI Type 48	The risk or severity of CNS depression can be increased when Drug 1 is combined with Drug 2.
DDI Type 49	Drug 1 may increase the sedative activities of Drug 2.
DDI Type 50	Drug 1 may increase the serotonergic activities of Drug 2.
DDI Type 51	Drug 1 may increase the central nervous system depressant (CNS depressant) activities of Drug 2.
DDI Type 52	The risk or severity of serotonin syndrome and hypomania can be increased when Drug 1 is combined with Drug 2.
DDI Type 53	The risk or severity of sedation, somnolence, and CNS depression can be increased when Drug 1 is combined with Drug 2.
DDI Type 54	The risk or severity of sedation can be increased when Drug 1 is combined with Drug 2.
DDI Type 55	The risk or severity of hypotension, sedation, death, somnolence, and respiratory depression can be increased when Drug 1 is combined with Drug 2.
DDI Type 56	The risk or severity of hypertension, hyponatremia, and water intoxication can be increased when Drug 1 is combined with Drug 2.
DDI Type 57	The risk or severity of renal failure and hypertension can be increased when Drug 1 is combined with Drug 2.
DDI Type 58	The risk or severity of renal failure, hyperkalemia, and hypertension can be increased when Drug 1 is combined with Drug 2.
DDI Type 59	Drug 1 may increase the neuroexcitatory activities of Drug 2.
