Node 1	Node 2	Relation	Source	Target
0	10	DDI Type 0	Drug	Drug
0	44	DDI Type 0	Drug	Drug
0	58	DDI Type 1	Drug	Drug
0	68	DDI Type 0	Drug	Drug
0	82	DDI Type 2	Drug	Drug
0	93	DDI Type 0	Drug	Drug
0	110	DDI Type 0	Drug	Drug
0	113	DDI Type 0	Drug	Drug
0	114	DDI Type 2	Drug	Drug
0	119	DDI Type 2	Drug	Drug
0	121	DDI Type 0	Drug	Drug
0	123	DDI Type 0	Drug	Drug
0	130	DDI Type 0	Drug	Drug
0	135	DDI Type 0	Drug	Drug
0	137	DDI Type 0	Drug	Drug
0	138	DDI Type 2	Drug	Drug
0	149	DDI Type 0	Drug	Drug
0	151	DDI Type 0	Drug	Drug
0	153	DDI Type 0	Drug	Drug
0	165	DDI Type 0	Drug	Drug
0	192	DDI Type 0	Drug	Drug
0	201	DDI Type 0	Drug	Drug
0	219	DDI Type 0	Drug	Drug
0	234	DDI Type 2	Drug	Drug
0	236	DDI Type 0	Drug	Drug
0	261	DDI Type 0	Drug	Drug
0	263	DDI Type 2	Drug	Drug
0	269	DDI Type 2	Drug	Drug
0	271	DDI Type 2	Drug	Drug
0	274	DDI Type 0	Drug	Drug
0	277	DDI Type 0	Drug	Drug
0	278	DDI Type 0	Drug	Drug
0	279	DDI Type 0	Drug	Drug
0	280	DDI Type 2	Drug	Drug
0	288	DDI Type 2	Drug	Drug
0	297	DDI Type 3	Drug	Drug
0	307	DDI Type 0	Drug	Drug
0	315	DDI Type 0	Drug	Drug
0	320	DDI Type 2	Drug	Drug
0	322	DDI Type 0	Drug	Drug
0	325	DDI Type 0	Drug	Drug
0	337	DDI Type 0	Drug	Drug
0	350	DDI Type 0	Drug	Drug
0	353	DDI Type 2	Drug	Drug
0	361	DDI Type 0	Drug	Drug
0	367	DDI Type 0	Drug	Drug
0	377	DDI Type 2	Drug	Drug
0	378	DDI Type 0	Drug	Drug
0	379	DDI Type 0	Drug	Drug
0	382	DDI Type 2	Drug	Drug
0	384	DDI Type 0	Drug	Drug
0	385	DDI Type 0	Drug	Drug
0	398	DDI Type 3	Drug	Drug
0	419	DDI Type 2	Drug	Drug
0	430	DDI Type 0	Drug	Drug
0	431	DDI Type 2	Drug	Drug
0	442	DDI Type 0	Drug	Drug
0	450	DDI Type 0	Drug	Drug
0	478	DDI Type 2	Drug	Drug
0	488	DDI Type 0	Drug	Drug
0	495	DDI Type 2	Drug	Drug
0	500	DDI Type 0	Drug	Drug
0	563	DDI Type 0	Drug	Drug
0	571	DDI Type 0	Drug	Drug
0	572	DDI Type 2	Drug	Drug
0	601	DDI Type 3	Drug	Drug
0	626	DDI Type 2	Drug	Drug
0	641	DDI Type 0	Drug	Drug
0	643	DDI Type 0	Drug	Drug
0	648	DDI Type 0	Drug	Drug
0	653	DDI Type 0	Drug	Drug
0	664	DDI Type 0	Drug	Drug
0	666	DDI Type 2	Drug	Drug
0	672	DDI Type 0	Drug	Drug
0	690	DDI Type 3	Drug	Drug
0	705	DDI Type 2	Drug	Drug
0	709	DDI Type 0	Drug	Drug
0	726	DDI Type 0	Drug	Drug
0	737	DDI Type 0	Drug	Drug
0	748	DDI Type 0	Drug	Drug
0	751	DDI Type 0	Drug	Drug
0	764	DDI Type 0	Drug	Drug
0	773	DDI Type 0	Drug	Drug
0	775	DDI Type 2	Drug	Drug
0	781	DDI Type 0	Drug	Drug
0	784	DDI Type 0	Drug	Drug
0	797	DDI Type 2	Drug	Drug
0	804	DDI Type 0	Drug	Drug
0	806	DDI Type 0	Drug	Drug
0	811	DDI Type 0	Drug	Drug
0	812	DDI Type 0	Drug	Drug
0	833	DDI Type 2	Drug	Drug
0	839	DDI Type 0	Drug	Drug
0	863	DDI Type 0	Drug	Drug
0	865	DDI Type 0	Drug	Drug
0	874	DDI Type 2	Drug	Drug
0	898	DDI Type 2	Drug	Drug
0	899	DDI Type 2	Drug	Drug
0	908	DDI Type 2	Drug	Drug
0	924	DDI Type 0	Drug	Drug
0	932	DDI Type 0	Drug	Drug
0	956	DDI Type 0	Drug	Drug
0	958	DDI Type 0	Drug	Drug
0	963	DDI Type 2	Drug	Drug
0	979	DDI Type 0	Drug	Drug
0	996	DDI Type 0	Drug	Drug
0	1007	DDI Type 0	Drug	Drug
0	1016	DDI Type 0	Drug	Drug
0	1031	DDI Type 2	Drug	Drug
0	1033	DDI Type 2	Drug	Drug
0	1034	DDI Type 2	Drug	Drug
0	1035	DDI Type 2	Drug	Drug
0	1036	DDI Type 2	Drug	Drug
0	1037	DDI Type 2	Drug	Drug
0	1038	DDI Type 2	Drug	Drug
0	1039	DDI Type 2	Drug	Drug
0	1040	DDI Type 2	Drug	Drug
0	1077	DDI Type 2	Drug	Drug
0	1078	DDI Type 2	Drug	Drug
0	1079	DDI Type 2	Drug	Drug
0	1080	DDI Type 0	Drug	Drug
0	1109	DDI Type 4	Drug	Drug
0	1113	DDI Type 0	Drug	Drug
0	1130	DDI Type 5	Drug	Drug
0	1153	DDI Type 0	Drug	Drug
0	1154	DDI Type 4	Drug	Drug
0	1166	DDI Type 4	Drug	Drug
0	1171	DDI Type 4	Drug	Drug
0	1173	DDI Type 2	Drug	Drug
0	1175	DDI Type 0	Drug	Drug
0	1201	DDI Type 0	Drug	Drug
0	1208	DDI Type 0	Drug	Drug
0	1209	DDI Type 0	Drug	Drug
0	1215	DDI Type 0	Drug	Drug
0	1218	DDI Type 2	Drug	Drug
0	1226	DDI Type 0	Drug	Drug
0	1231	DDI Type 0	Drug	Drug
0	1247	DDI Type 4	Drug	Drug
0	1270	DDI Type 6	Drug	Drug
0	1280	DDI Type 7	Drug	Drug
0	1292	DDI Type 0	Drug	Drug
0	1308	DDI Type 2	Drug	Drug
0	1314	DDI Type 0	Drug	Drug
0	1340	DDI Type 2	Drug	Drug
0	1360	DDI Type 0	Drug	Drug
0	1363	DDI Type 0	Drug	Drug
0	1365	DDI Type 4	Drug	Drug
0	1373	DDI Type 2	Drug	Drug
0	1416	DDI Type 4	Drug	Drug
0	1421	DDI Type 2	Drug	Drug
0	1423	DDI Type 0	Drug	Drug
0	1428	DDI Type 0	Drug	Drug
0	1435	DDI Type 0	Drug	Drug
0	1438	DDI Type 0	Drug	Drug
0	1442	DDI Type 0	Drug	Drug
0	1449	DDI Type 0	Drug	Drug
0	1455	DDI Type 0	Drug	Drug
0	1486	DDI Type 0	Drug	Drug
0	1490	DDI Type 2	Drug	Drug
0	1504	DDI Type 0	Drug	Drug
0	1505	DDI Type 0	Drug	Drug
0	1552	DDI Type 0	Drug	Drug
0	1576	DDI Type 0	Drug	Drug
0	1711	DDI Type 4	Drug	Drug
0	1715	DDI Type 2	Drug	Drug
0	1809	DDI Type 0	Drug	Drug
0	1856	DDI Type 0	Drug	Drug
0	1904	DDI Type 2	Drug	Drug
0	1911	DDI Type 2	Drug	Drug
0	1919	DDI Type 6	Drug	Drug
0	2013	DDI Type 2	Drug	Drug
0	2014	DDI Type 0	Drug	Drug
0	2015	DDI Type 2	Drug	Drug
0	2081	DDI Type 0	Drug	Drug
0	2078	DDI Type 0	Drug	Drug
1	2	DDI Type 8	Drug	Drug
1	4	DDI Type 9	Drug	Drug
1	6	DDI Type 10	Drug	Drug
1	7	DDI Type 10	Drug	Drug
1	8	DDI Type 9	Drug	Drug
1	23	DDI Type 9	Drug	Drug
1	27	DDI Type 9	Drug	Drug
1	32	DDI Type 10	Drug	Drug
1	33	DDI Type 9	Drug	Drug
1	38	DDI Type 10	Drug	Drug
1	39	DDI Type 9	Drug	Drug
1	41	DDI Type 9	Drug	Drug
1	42	DDI Type 9	Drug	Drug
1	46	DDI Type 9	Drug	Drug
1	48	DDI Type 9	Drug	Drug
1	53	DDI Type 9	Drug	Drug
1	54	DDI Type 8	Drug	Drug
1	55	DDI Type 9	Drug	Drug
1	58	DDI Type 10	Drug	Drug
1	59	DDI Type 8	Drug	Drug
1	61	DDI Type 9	Drug	Drug
1	62	DDI Type 8	Drug	Drug
1	63	DDI Type 9	Drug	Drug
1	66	DDI Type 9	Drug	Drug
1	68	DDI Type 8	Drug	Drug
1	71	DDI Type 8	Drug	Drug
1	77	DDI Type 10	Drug	Drug
1	78	DDI Type 9	Drug	Drug
1	80	DDI Type 10	Drug	Drug
1	84	DDI Type 9	Drug	Drug
1	87	DDI Type 9	Drug	Drug
1	89	DDI Type 9	Drug	Drug
1	93	DDI Type 10	Drug	Drug
1	94	DDI Type 8	Drug	Drug
1	97	DDI Type 8	Drug	Drug
1	101	DDI Type 10	Drug	Drug
1	103	DDI Type 9	Drug	Drug
1	109	DDI Type 8	Drug	Drug
1	110	DDI Type 9	Drug	Drug
1	112	DDI Type 9	Drug	Drug
1	117	DDI Type 9	Drug	Drug
1	118	DDI Type 9	Drug	Drug
1	124	DDI Type 9	Drug	Drug
1	125	DDI Type 8	Drug	Drug
1	126	DDI Type 11	Drug	Drug
1	127	DDI Type 10	Drug	Drug
1	128	DDI Type 8	Drug	Drug
1	130	DDI Type 9	Drug	Drug
1	134	DDI Type 9	Drug	Drug
1	136	DDI Type 9	Drug	Drug
1	138	DDI Type 9	Drug	Drug
1	140	DDI Type 11	Drug	Drug
1	141	DDI Type 11	Drug	Drug
1	147	DDI Type 9	Drug	Drug
1	152	DDI Type 8	Drug	Drug
1	155	DDI Type 9	Drug	Drug
1	156	DDI Type 8	Drug	Drug
1	157	DDI Type 9	Drug	Drug
1	159	DDI Type 9	Drug	Drug
1	162	DDI Type 9	Drug	Drug
1	164	DDI Type 8	Drug	Drug
1	165	DDI Type 9	Drug	Drug
1	166	DDI Type 9	Drug	Drug
1	168	DDI Type 9	Drug	Drug
1	170	DDI Type 9	Drug	Drug
1	172	DDI Type 9	Drug	Drug
1	175	DDI Type 8	Drug	Drug
1	180	DDI Type 9	Drug	Drug
1	183	DDI Type 8	Drug	Drug
1	184	DDI Type 8	Drug	Drug
1	189	DDI Type 9	Drug	Drug
1	191	DDI Type 9	Drug	Drug
1	195	DDI Type 9	Drug	Drug
1	196	DDI Type 9	Drug	Drug
1	198	DDI Type 10	Drug	Drug
1	202	DDI Type 8	Drug	Drug
1	203	DDI Type 9	Drug	Drug
1	204	DDI Type 8	Drug	Drug
1	211	DDI Type 9	Drug	Drug
1	216	DDI Type 9	Drug	Drug
1	219	DDI Type 9	Drug	Drug
1	221	DDI Type 10	Drug	Drug
1	227	DDI Type 10	Drug	Drug
1	228	DDI Type 9	Drug	Drug
1	229	DDI Type 8	Drug	Drug
1	231	DDI Type 8	Drug	Drug
1	239	DDI Type 9	Drug	Drug
1	240	DDI Type 9	Drug	Drug
1	241	DDI Type 9	Drug	Drug
1	248	DDI Type 9	Drug	Drug
1	250	DDI Type 9	Drug	Drug
1	253	DDI Type 9	Drug	Drug
1	254	DDI Type 8	Drug	Drug
1	265	DDI Type 9	Drug	Drug
1	266	DDI Type 8	Drug	Drug
1	268	DDI Type 9	Drug	Drug
1	270	DDI Type 9	Drug	Drug
1	272	DDI Type 10	Drug	Drug
1	273	DDI Type 10	Drug	Drug
1	274	DDI Type 9	Drug	Drug
1	276	DDI Type 10	Drug	Drug
1	283	DDI Type 8	Drug	Drug
1	286	DDI Type 9	Drug	Drug
1	290	DDI Type 8	Drug	Drug
1	297	DDI Type 8	Drug	Drug
1	300	DDI Type 10	Drug	Drug
1	304	DDI Type 9	Drug	Drug
1	305	DDI Type 8	Drug	Drug
1	306	DDI Type 9	Drug	Drug
1	307	DDI Type 9	Drug	Drug
1	316	DDI Type 8	Drug	Drug
1	317	DDI Type 9	Drug	Drug
1	319	DDI Type 9	Drug	Drug
1	322	DDI Type 10	Drug	Drug
1	326	DDI Type 9	Drug	Drug
1	328	DDI Type 10	Drug	Drug
1	329	DDI Type 8	Drug	Drug
1	330	DDI Type 10	Drug	Drug
1	334	DDI Type 9	Drug	Drug
1	337	DDI Type 9	Drug	Drug
1	346	DDI Type 11	Drug	Drug
1	347	DDI Type 10	Drug	Drug
1	349	DDI Type 8	Drug	Drug
1	353	DDI Type 9	Drug	Drug
1	355	DDI Type 8	Drug	Drug
1	356	DDI Type 8	Drug	Drug
1	358	DDI Type 10	Drug	Drug
1	361	DDI Type 8	Drug	Drug
1	364	DDI Type 9	Drug	Drug
1	366	DDI Type 10	Drug	Drug
1	367	DDI Type 9	Drug	Drug
1	368	DDI Type 9	Drug	Drug
1	371	DDI Type 8	Drug	Drug
1	372	DDI Type 8	Drug	Drug
1	373	DDI Type 9	Drug	Drug
1	378	DDI Type 10	Drug	Drug
1	379	DDI Type 9	Drug	Drug
1	383	DDI Type 8	Drug	Drug
1	384	DDI Type 9	Drug	Drug
1	386	DDI Type 9	Drug	Drug
1	387	DDI Type 8	Drug	Drug
1	398	DDI Type 9	Drug	Drug
1	399	DDI Type 10	Drug	Drug
1	400	DDI Type 10	Drug	Drug
1	405	DDI Type 9	Drug	Drug
1	411	DDI Type 9	Drug	Drug
1	412	DDI Type 9	Drug	Drug
1	415	DDI Type 10	Drug	Drug
1	416	DDI Type 9	Drug	Drug
1	417	DDI Type 8	Drug	Drug
1	421	DDI Type 8	Drug	Drug
1	425	DDI Type 9	Drug	Drug
1	430	DDI Type 8	Drug	Drug
1	431	DDI Type 10	Drug	Drug
1	435	DDI Type 9	Drug	Drug
1	436	DDI Type 8	Drug	Drug
1	438	DDI Type 10	Drug	Drug
1	439	DDI Type 9	Drug	Drug
1	441	DDI Type 10	Drug	Drug
1	442	DDI Type 9	Drug	Drug
1	443	DDI Type 9	Drug	Drug
1	445	DDI Type 9	Drug	Drug
1	446	DDI Type 10	Drug	Drug
1	447	DDI Type 8	Drug	Drug
1	448	DDI Type 8	Drug	Drug
1	449	DDI Type 10	Drug	Drug
1	450	DDI Type 9	Drug	Drug
1	453	DDI Type 11	Drug	Drug
1	457	DDI Type 10	Drug	Drug
1	459	DDI Type 9	Drug	Drug
1	465	DDI Type 9	Drug	Drug
1	468	DDI Type 9	Drug	Drug
1	469	DDI Type 9	Drug	Drug
1	473	DDI Type 9	Drug	Drug
1	474	DDI Type 10	Drug	Drug
1	476	DDI Type 9	Drug	Drug
1	485	DDI Type 8	Drug	Drug
1	487	DDI Type 10	Drug	Drug
1	488	DDI Type 9	Drug	Drug
1	489	DDI Type 9	Drug	Drug
1	490	DDI Type 9	Drug	Drug
1	491	DDI Type 8	Drug	Drug
1	494	DDI Type 10	Drug	Drug
1	496	DDI Type 9	Drug	Drug
1	504	DDI Type 9	Drug	Drug
1	509	DDI Type 10	Drug	Drug
1	511	DDI Type 9	Drug	Drug
1	513	DDI Type 10	Drug	Drug
1	514	DDI Type 10	Drug	Drug
1	517	DDI Type 9	Drug	Drug
1	520	DDI Type 9	Drug	Drug
1	525	DDI Type 11	Drug	Drug
1	526	DDI Type 9	Drug	Drug
1	533	DDI Type 9	Drug	Drug
1	536	DDI Type 9	Drug	Drug
1	545	DDI Type 8	Drug	Drug
1	550	DDI Type 8	Drug	Drug
1	552	DDI Type 11	Drug	Drug
1	558	DDI Type 8	Drug	Drug
1	560	DDI Type 9	Drug	Drug
1	561	DDI Type 9	Drug	Drug
1	562	DDI Type 9	Drug	Drug
1	564	DDI Type 9	Drug	Drug
1	573	DDI Type 9	Drug	Drug
1	576	DDI Type 8	Drug	Drug
1	577	DDI Type 8	Drug	Drug
1	578	DDI Type 9	Drug	Drug
1	580	DDI Type 9	Drug	Drug
1	581	DDI Type 9	Drug	Drug
1	585	DDI Type 9	Drug	Drug
1	586	DDI Type 9	Drug	Drug
1	593	DDI Type 9	Drug	Drug
1	595	DDI Type 9	Drug	Drug
1	598	DDI Type 9	Drug	Drug
1	599	DDI Type 9	Drug	Drug
1	601	DDI Type 9	Drug	Drug
