ID	Node	Type
0	OIRCOABEOLEUMC-GEJPAHFPSA-N	Drug
1	GFIJNRVAKGFPGQ-LIJARHBVSA-N	Drug
2	BLCLNMBMMGCOAS-URPVMXJPSA-N	Drug
3	NDAYQJDHGXTBJL-MWWSRJDJSA-N	Drug
4	NFLWUMRGJYTJIN-PNIOQBSNSA-N	Drug
5	JLTCWSBVQSZVLT-UHFFFAOYSA-N	Drug
6	DOAKLVKFURWEDJ-QCMAZARJSA-N	Drug
7	PMATZTZNYRCHOR-CGLBZJNRSA-N	Drug
8	RMRCNWBMXRMIRW-WZHZPDAFSA-L	Drug
9	MEFKEPWMEQBLKI-AIRLBKTGSA-N	Drug
10	COLNVLDHVKWLRT-QMMMGPOBSA-N	Drug
11	OEYIOHPDSNJKLS-UHFFFAOYSA-N	Drug
12	CIWBSHSKHKDKBQ-JLAZNSOCSA-N	Drug
13	DTOSIQBPPRVQHS-PDBXOOCHSA-N	Drug
14	OUYCCCASQSFEME-QMMMGPOBSA-N	Drug
15	GMRQFYUYWCNGIN-NKMMMXOESA-N	Drug
16	KDYFGRWQOYBRFD-UHFFFAOYSA-N	Drug
17	AUNGANRZJHBGPY-SCRDCRAPSA-N	Drug
18	DHMQDGOQFOQNFH-UHFFFAOYSA-N	Drug
19	JWUBBDSIWDLEOM-DTOXIADCSA-N	Drug
20	QIVBCDIJIAJPQS-VIFPVBQESA-N	Drug
21	JZRWCGZRTZMZEH-UHFFFAOYSA-N	Drug
22	MECHNRXZTMCUDQ-RKHKHRCZSA-N	Drug
23	OVBPIULPVIDEAO-LBPRGKRZSA-N	Drug
24	JAZBEHYOTPTENJ-JLNKQSITSA-N	Drug
25	FPIPGXGPPPQFEQ-OVSJKPMPSA-N	Drug
26	GVJHHUAWPYXKBD-IEOSBIPESA-N	Drug
27	LXNHXLLTXMVWPM-UHFFFAOYSA-N	Drug
28	AGBQKNBQESQNJD-SSDOTTSWSA-N	Drug
29	QYSXJUFSXHHAJI-YRZJJWOYSA-N	Drug
30	MJVAVZPDRWSRRC-UHFFFAOYSA-N	Drug
31	GFFGJBXGBJISGV-UHFFFAOYSA-N	Drug
32	TUZYXOIXSAXUGO-PZAWKZKUSA-N	Drug
33	CJOFXWAVKWHTFT-XSFVSMFZSA-N	Drug
34	ACWBQPMHZXGDFX-QFIPXVFZSA-N	Drug
35	HDACQVRGBOVJII-JBDAPHQKSA-N	Drug
36	HCZKYJDFEPMADG-TXEJJXNPSA-N	Drug
37	XSFJVAJPIHIPKU-XWCQMRHXSA-N	Drug
38	KPYSYYIEGFHWSV-UHFFFAOYSA-N	Drug
39	KWTSXDURSIMDCE-UHFFFAOYSA-N	Drug
40	SNICXCGAKADSCV-JTQLQIEISA-N	Drug
41	WUTYZMFRCNBCHQ-LHIURRSHSA-N	Drug
42	DIWRORZWFLOCLC-UHFFFAOYSA-N	Drug
43	AQNDDEOPVVGCPG-UHFFFAOYSA-N	Drug
44	GXJABQQUPOEUTA-RDJZCZTQSA-N	Drug
45	ZEHYJZXQEQOSON-AATRIKPKSA-N	Drug
46	TZFNLOMSOLWIDK-JTQLQIEISA-N	Drug
47	DHHVAGZRUROJKS-UHFFFAOYSA-N	Drug
48	TVYLLZQTGLZFBW-UHFFFAOYSA-N	Drug
49	OIRDTQYFTABQOQ-UHTZMRCNSA-N	Drug
50	NWIUTZDMDHAVTP-UHFFFAOYSA-N	Drug
51	RFHAOTPXVQNOHP-UHFFFAOYSA-N	Drug
52	GXPHKUHSUJUWKP-UHFFFAOYSA-N	Drug
53	VSZGPKBBMSAYNT-RRFJBIMHSA-N	Drug
54	ULGZDMOVFRHVEP-RWJQBGPGSA-N	Drug
55	YOZNUFWCRFCGIH-WZHZPDAFSA-K	Drug
56	RYYVLZVUVIJVGH-UHFFFAOYSA-N	Drug
57	AXOIZCJOOAYSMI-UHFFFAOYSA-N	Drug
58	BNRNXUUZRGQAQC-UHFFFAOYSA-N	Drug
59	IXTMWRCNAAVVAI-UHFFFAOYSA-N	Drug
60	WKSAUQYGYAYLPV-UHFFFAOYSA-N	Drug
61	QEVHRUUCFGRFIF-MDEJGZGSSA-N	Drug
62	MQTOSJVFKKJCRP-BICOPXKESA-N	Drug
63	PHWBOXQYWZNQIN-UHFFFAOYSA-N	Drug
64	OYYDSUSKLWTMMQ-JKHIJQBDSA-N	Drug
65	PTKSEFOSCHHMPD-UHFFFAOYSA-N	Drug
66	IQPSEEYGBUAQFF-UHFFFAOYSA-N	Drug
67	NGBFQHCMQULJNZ-UHFFFAOYSA-N	Drug
68	WSEQXVZVJXJVFP-UHFFFAOYSA-N	Drug
69	PWVXXGRKLHYWKM-LJQANCHMSA-N	Drug
70	NIVZHWNOUVJHKV-UHFFFAOYSA-N	Drug
71	FABPRXSRWADJSP-MEDUHNTESA-N	Drug
72	GFRUPHOKLBPHTQ-UHFFFAOYSA-N	Drug
73	QAGYKUNXZHXKMR-HKWSIXNMSA-N	Drug
74	HUYWAWARQUIQLE-UHFFFAOYSA-N	Drug
75	WIGIZIANZCJQQY-RUCARUNLSA-N	Drug
76	WXURHACBFYSXBI-XHIJKXOTSA-N	Drug
77	CBVCZFGXHXORBI-PXQQMZJSSA-N	Drug
78	HZHFFEYYPYZMNU-UHFFFAOYSA-K	Drug
79	HPBNRIOWIXYZFK-UHFFFAOYSA-N	Drug
80	PCZOHLXUXFIOCF-BXMDZJJMSA-N	Drug
81	JPGQOUSTVILISH-UHFFFAOYSA-N	Drug
82	QYQDKDWGWDOFFU-IUODEOHRSA-N	Drug
83	AYXYPKUFHZROOJ-ZETCQYMHSA-N	Drug
84	SEQDDYPDSLOBDC-UHFFFAOYSA-N	Drug
85	WUBBRNOQWQTFEX-UHFFFAOYSA-N	Drug
86	CBQGYUDMJHNJBX-RTBURBONSA-N	Drug
87	PZRHRDRVRGEVNW-UHFFFAOYSA-N	Drug
88	NJBFOOCLYDNZJN-UHFFFAOYSA-N	Drug
89	ZRIHAIZYIMGOAB-UHFFFAOYSA-N	Drug
90	NQDJXKOVJZTUJA-UHFFFAOYSA-N	Drug
91	FJXOGVLKCZQRDN-PHCHRAKRSA-N	Drug
92	UZVHFVZFNXBMQJ-UHFFFAOYSA-N	Drug
93	PTOAARAWEBMLNO-KVQBGUIXSA-N	Drug
94	XKLMZUWKNUAPSZ-UHFFFAOYSA-N	Drug
95	KBOPZPXVLCULAV-UHFFFAOYSA-N	Drug
96	GIJXKZJWITVLHI-PMOLBWCYSA-N	Drug
97	MVWVFYHBGMAFLY-UHFFFAOYSA-N	Drug
98	KPJZHOPZRAFDTN-NQUBZZJWSA-N	Drug
99	KORNTPPJEAJQIU-KJXAQDMKSA-N	Drug
100	MQJKPEGWNLWLTK-UHFFFAOYSA-N	Drug
101	CXOFVDLJLONNDW-UHFFFAOYSA-N	Drug
102	GZENKSODFLBBHQ-ILSZZQPISA-N	Drug
103	JBIWCJUYHHGXTC-AKNGSSGZSA-N	Drug
104	RGLYKWWBQGJZGM-ISLYRVAYSA-N	Drug
105	AHEVKYYGXVEWNO-UEPZRUIBSA-N	Drug
106	VSGNNIFQASZAOI-UHFFFAOYSA-L	Drug
107	FDDDEECHVMSUSB-UHFFFAOYSA-N	Drug
108	DYDCUQKUCUHJBH-UWTATZPHSA-N	Drug
109	OTBXOEAOVRKTNQ-UHFFFAOYSA-N	Drug
110	DLGOEMSEDOSKAD-UHFFFAOYSA-N	Drug
111	NHUHCSRWZMLRLA-UHFFFAOYSA-N	Drug
112	IUBSYMUCCVWXPE-UHFFFAOYSA-N	Drug
113	DOBMPNYZJYQDGZ-UHFFFAOYSA-N	Drug
114	HJJDBAOLQAWBMH-YCRCPZNHSA-N	Drug
115	UHSKFQJFRQCDBE-UHFFFAOYSA-N	Drug
116	HMJIYCCIJYRONP-UHFFFAOYSA-N	Drug
117	YVPYQUNUQOZFHG-UHFFFAOYSA-N	Drug
118	KJADKKWYZYXHBB-XBWDGYHZSA-N	Drug
119	SNBUBQHDYVFSQF-HIFRSBDPSA-N	Drug
120	VTRAEEWXHOVJFV-UHFFFAOYSA-N	Drug
121	XCPGHVQEEXUHNC-UHFFFAOYSA-N	Drug
122	ZFXYFBGIUFBOJW-UHFFFAOYSA-N	Drug
123	KXNPVXPOPUZYGB-IOVMHBDKSA-N	Drug
124	AUYYCJSJGJYCDS-LBPRGKRZSA-N	Drug
125	UVTNFZQICZKOEM-UHFFFAOYSA-N	Drug
126	NNJVILVZKWQKPM-UHFFFAOYSA-N	Drug
127	WRUUGTRCQOWXEG-UHFFFAOYSA-N	Drug
128	YNNUSGIPVFPVBX-NHCUHLMSSA-N	Drug
129	CEMXHAPUFJOOSV-XGWNLRGSSA-N	Drug
130	PNVNVHUZROJLTJ-UHFFFAOYSA-N	Drug
131	MKPLKVHSHYCHOC-AHTXBMBWSA-N	Drug
132	ILKJAFIWWBXGDU-MOGDOJJUSA-N	Drug
133	VHGCDTVCOLNTBX-QGZVFWFLSA-N	Drug
134	OYVAGSVQBOHSSS-WXFSZRTFSA-O	Drug
135	JCKYGMPEJWAADB-UHFFFAOYSA-N	Drug
136	NPUKDXXFDDZOKR-LLVKDONJSA-N	Drug
137	IVTVGDXNLFLDRM-HNNXBMFYSA-N	Drug
138	GCKFUYQCUCGESZ-BPIQYHPVSA-N	Drug
139	BQJCRHHNABKAKU-KBQPJGBKSA-N	Drug
140	ZKMNUMMKYBVTFN-HNNXBMFYSA-N	Drug
141	LEBVLXFERQHONN-UHFFFAOYSA-N	Drug
142	RFWZESUMWJKKRN-UHFFFAOYSA-N	Drug
143	JNTOCHDNEULJHD-UHFFFAOYSA-N	Drug
144	JFVZFKDSXNQEJW-CQSZACIVSA-N	Drug
145	UIOFUWFRIANQPC-JKIFEVAISA-N	Drug
146	GYDJEQRTZSCIOI-LJGSYFOKSA-N	Drug
147	JUZNIMUFDBIJCM-ANEDZVCMSA-N	Drug
148	RPLCPCMSCLEKRS-BPIQYHPVSA-N	Drug
149	NWIBSHFKIJFRCO-WUDYKRTCSA-N	Drug
150	BJVVMKUXKQHWJK-UHFFFAOYSA-N	Drug
151	NAVMQTYZDKMPEU-UHFFFAOYSA-N	Drug
