DDI_Type	Interaction_Name
DDI Type 0	Drug 1 may increase the anticoagulant activities of Drug 2.
DDI Type 1	The therapeutic efficacy of Drug 1 can be decreased when used in combination with Drug 2.
DDI Type 2	The risk or severity of adverse effects can be increased when Drug 1 is combined with Drug 2.
DDI Type 3	The metabolism of Drug 1 can be increased when combined with Drug 2.
DDI Type 4	The risk or severity of bleeding can be increased when Drug 1 is combined with Drug 2.
DDI Type 5	The serum concentration of Drug 1 can be decreased when it is combined with Drug 2.
DDI Type 6	Drug 1 may increase the QTc-prolonging activities of Drug 2.
DDI Type 7	The serum concentration of Drug 1 can be increased when it is combined with Drug 2.
DDI Type 8	The metabolism of Drug 1 can be decreased when combined with Drug 2.
DDI Type 9	Drug 1 may increase the neuromuscular blocking activities of Drug 2.
DDI Type 10	Drug 1 may increase the nephrotoxic activities of Drug 2.
DDI Type 11	Drug 1 may increase the neurotoxic activities of Drug 2.
DDI Type 12	Drug 1 may decrease the excretion rate of Drug 2 which could result in a higher serum level.
DDI Type 13	Drug 1 may increase the immunosuppressive activities of Drug 2.
DDI Type 14	Drug 1 may increase the bradycardic activities of Drug 2.
DDI Type 15	Drug 1 may increase the hypoglycemic activities of Drug 2.
DDI Type 16	Drug 1 may increase the atrioventricular blocking (AV block) activities of Drug 2.
DDI Type 17	Drug 1 can cause an increase in the absorption of Drug 2 resulting in an increased serum concentration and potentially a worsening of adverse effects.
DDI Type 18	Drug 1 may increase the photosensitizing activities of Drug 2.
DDI Type 19	Drug 1 may increase the arrhythmogenic activities of Drug 2.
DDI Type 20	Drug 1 may increase the serotonergic activities of Drug 2.
DDI Type 21	Drug 1 may increase the antiplatelet activities of Drug 2.
DDI Type 22	Drug 1 may increase the myopathic rhabdomyolysis activities of Drug 2.
DDI Type 23	Drug 1 may increase the neuroexcitatory activities of Drug 2.
DDI Type 24	The therapeutic efficacy of Drug 1 can be increased when used in combination with Drug 2.
DDI Type 25	Drug 1 may increase the hyponatremic activities of Drug 2.
DDI Type 26	Drug 1 may increase the sedative activities of Drug 2.
DDI Type 27	Drug 1 may increase the central nervous system depressant (CNS depressant) activities of Drug 2.
