ID	Node	Type
0	OIRCOABEOLEUMC-GEJPAHFPSA-N	Drug
1	BLCLNMBMMGCOAS-URPVMXJPSA-N	Drug
2	NFLWUMRGJYTJIN-PNIOQBSNSA-N	Drug
3	PMATZTZNYRCHOR-CGLBZJNRSA-N	Drug
4	DEQANNDTNATYII-OULOTJBUSA-N	Drug
5	RMRCNWBMXRMIRW-WZHZPDAFSA-L	Drug
6	COLNVLDHVKWLRT-QMMMGPOBSA-N	Drug
7	OEYIOHPDSNJKLS-UHFFFAOYSA-N	Drug
8	CIWBSHSKHKDKBQ-JLAZNSOCSA-N	Drug
9	GMRQFYUYWCNGIN-NKMMMXOESA-N	Drug
10	AUNGANRZJHBGPY-SCRDCRAPSA-N	Drug
11	JWUBBDSIWDLEOM-DTOXIADCSA-N	Drug
12	QIVBCDIJIAJPQS-VIFPVBQESA-N	Drug
13	MECHNRXZTMCUDQ-RKHKHRCZSA-N	Drug
14	OVBPIULPVIDEAO-LBPRGKRZSA-N	Drug
15	FPIPGXGPPPQFEQ-OVSJKPMPSA-N	Drug
16	GVJHHUAWPYXKBD-IEOSBIPESA-N	Drug
17	AGBQKNBQESQNJD-SSDOTTSWSA-N	Drug
18	QYSXJUFSXHHAJI-YRZJJWOYSA-N	Drug
19	MJVAVZPDRWSRRC-UHFFFAOYSA-N	Drug
20	TUZYXOIXSAXUGO-PZAWKZKUSA-N	Drug
21	CJOFXWAVKWHTFT-XSFVSMFZSA-N	Drug
22	ACWBQPMHZXGDFX-QFIPXVFZSA-N	Drug
23	HDACQVRGBOVJII-JBDAPHQKSA-N	Drug
24	HCZKYJDFEPMADG-TXEJJXNPSA-N	Drug
25	XSFJVAJPIHIPKU-XWCQMRHXSA-N	Drug
26	KPYSYYIEGFHWSV-UHFFFAOYSA-N	Drug
27	KWTSXDURSIMDCE-UHFFFAOYSA-N	Drug
28	SNICXCGAKADSCV-JTQLQIEISA-N	Drug
29	WUTYZMFRCNBCHQ-LHIURRSHSA-N	Drug
30	DIWRORZWFLOCLC-UHFFFAOYSA-N	Drug
31	AQNDDEOPVVGCPG-UHFFFAOYSA-N	Drug
32	GXJABQQUPOEUTA-RDJZCZTQSA-N	Drug
33	ZEHYJZXQEQOSON-AATRIKPKSA-N	Drug
34	DHHVAGZRUROJKS-UHFFFAOYSA-N	Drug
35	TVYLLZQTGLZFBW-UHFFFAOYSA-N	Drug
36	NWIUTZDMDHAVTP-UHFFFAOYSA-N	Drug
37	RFHAOTPXVQNOHP-UHFFFAOYSA-N	Drug
38	VSZGPKBBMSAYNT-RRFJBIMHSA-N	Drug
39	ULGZDMOVFRHVEP-RWJQBGPGSA-N	Drug
40	RYYVLZVUVIJVGH-UHFFFAOYSA-N	Drug
41	AXOIZCJOOAYSMI-UHFFFAOYSA-N	Drug
42	BNRNXUUZRGQAQC-UHFFFAOYSA-N	Drug
43	IXTMWRCNAAVVAI-UHFFFAOYSA-N	Drug
44	WKSAUQYGYAYLPV-UHFFFAOYSA-N	Drug
45	QEVHRUUCFGRFIF-MDEJGZGSSA-N	Drug
46	MQTOSJVFKKJCRP-BICOPXKESA-N	Drug
47	PHWBOXQYWZNQIN-UHFFFAOYSA-N	Drug
48	OYYDSUSKLWTMMQ-JKHIJQBDSA-N	Drug
49	LZCDAPDGXCYOEH-UHFFFAOYSA-N	Drug
50	PTKSEFOSCHHMPD-UHFFFAOYSA-N	Drug
51	UXIGZRQVLGFTOU-VQXQMPIVSA-N	Drug
52	IQPSEEYGBUAQFF-UHFFFAOYSA-N	Drug
53	NGBFQHCMQULJNZ-UHFFFAOYSA-N	Drug
54	WSEQXVZVJXJVFP-UHFFFAOYSA-N	Drug
55	PWVXXGRKLHYWKM-LJQANCHMSA-N	Drug
56	NIVZHWNOUVJHKV-UHFFFAOYSA-N	Drug
57	FABPRXSRWADJSP-MEDUHNTESA-N	Drug
58	GFRUPHOKLBPHTQ-UHFFFAOYSA-N	Drug
59	QAGYKUNXZHXKMR-HKWSIXNMSA-N	Drug
60	HUYWAWARQUIQLE-UHFFFAOYSA-N	Drug
61	WIGIZIANZCJQQY-RUCARUNLSA-N	Drug
62	WXURHACBFYSXBI-XHIJKXOTSA-N	Drug
63	CBVCZFGXHXORBI-PXQQMZJSSA-N	Drug
64	HPBNRIOWIXYZFK-UHFFFAOYSA-N	Drug
65	PCZOHLXUXFIOCF-BXMDZJJMSA-N	Drug
66	JPGQOUSTVILISH-UHFFFAOYSA-N	Drug
67	QYQDKDWGWDOFFU-IUODEOHRSA-N	Drug
68	AYXYPKUFHZROOJ-ZETCQYMHSA-N	Drug
69	SEQDDYPDSLOBDC-UHFFFAOYSA-N	Drug
70	CESYKOGBSMNBPD-UHFFFAOYSA-N	Drug
71	WUBBRNOQWQTFEX-UHFFFAOYSA-N	Drug
72	CBQGYUDMJHNJBX-RTBURBONSA-N	Drug
73	PZRHRDRVRGEVNW-UHFFFAOYSA-N	Drug
74	ZRIHAIZYIMGOAB-UHFFFAOYSA-N	Drug
75	NQDJXKOVJZTUJA-UHFFFAOYSA-N	Drug
76	QRJJEGAJXVEBNE-HKOYGPOVSA-N	Drug
