Node 1	Node 2	Relation	Source	Target
0	99	DDI Type 0	Drug	Drug
0	109	DDI Type 0	Drug	Drug
0	124	DDI Type 1	Drug	Drug
0	133	DDI Type 1	Drug	Drug
0	174	DDI Type 1	Drug	Drug
0	186	DDI Type 1	Drug	Drug
0	196	DDI Type 1	Drug	Drug
0	211	DDI Type 1	Drug	Drug
0	255	DDI Type 2	Drug	Drug
0	293	DDI Type 0	Drug	Drug
0	318	DDI Type 2	Drug	Drug
0	341	DDI Type 3	Drug	Drug
0	345	DDI Type 0	Drug	Drug
0	372	DDI Type 1	Drug	Drug
0	441	DDI Type 0	Drug	Drug
0	472	DDI Type 1	Drug	Drug
0	658	DDI Type 0	Drug	Drug
0	683	DDI Type 0	Drug	Drug
0	1014	DDI Type 0	Drug	Drug
0	1023	DDI Type 1	Drug	Drug
0	1070	DDI Type 2	Drug	Drug
0	1574	DDI Type 2	Drug	Drug
0	1105	DDI Type 0	Drug	Drug
0	1575	DDI Type 4	Drug	Drug
0	1132	DDI Type 0	Drug	Drug
0	1170	DDI Type 0	Drug	Drug
0	1187	DDI Type 0	Drug	Drug
0	1197	DDI Type 2	Drug	Drug
0	1225	DDI Type 0	Drug	Drug
0	1249	DDI Type 1	Drug	Drug
0	1266	DDI Type 1	Drug	Drug
0	1310	DDI Type 5	Drug	Drug
0	1400	DDI Type 2	Drug	Drug
0	1421	DDI Type 1	Drug	Drug
0	1422	DDI Type 1	Drug	Drug
0	1514	DDI Type 0	Drug	Drug
0	1528	DDI Type 1	Drug	Drug
0	1531	DDI Type 1	Drug	Drug
0	1567	DDI Type 4	Drug	Drug
1	39	DDI Type 6	Drug	Drug
1	43	DDI Type 6	Drug	Drug
1	46	DDI Type 6	Drug	Drug
1	54	DDI Type 6	Drug	Drug
1	57	DDI Type 6	Drug	Drug
1	83	DDI Type 6	Drug	Drug
1	95	DDI Type 6	Drug	Drug
1	97	DDI Type 6	Drug	Drug
1	111	DDI Type 6	Drug	Drug
1	136	DDI Type 6	Drug	Drug
1	158	DDI Type 6	Drug	Drug
1	183	DDI Type 6	Drug	Drug
1	228	DDI Type 6	Drug	Drug
1	252	DDI Type 6	Drug	Drug
1	265	DDI Type 6	Drug	Drug
1	269	DDI Type 6	Drug	Drug
1	273	DDI Type 6	Drug	Drug
1	284	DDI Type 6	Drug	Drug
1	297	DDI Type 6	Drug	Drug
1	320	DDI Type 6	Drug	Drug
1	321	DDI Type 6	Drug	Drug
1	336	DDI Type 6	Drug	Drug
1	373	DDI Type 6	Drug	Drug
